Species	Ab_closedT0	Ab_closedT5	Ab_closedT12	Ab_closedT17	Ab_closedT24	Ab_closedT29	Ab_closedT36	Ab_closedT41	Ab_closedT49	Ab_closedT56	Ab_closedT60	Ab_closedT67	Ab_closedT73
Astrocaryumaculeatissimum	2	2	2	2	4	3	3	3	3	3	3	3	3
Eugeniacerasiflora	3	3	3	3	3	3	3	2	2	2	2	2	2
Eugeniacuprea	28	29	27	28	29	30	35	41	45	47	45	40	42
Eugenianeoaustralis	1	1	1	1	1	1	3	4	4	4	4	4	7
Euterpeedulis	55	73	61	75	95	118	131	111	97	118	119	116	101
Garciniagardneriana	12	12	10	11	12	17	23	29	29	27	30	29	27
Geonomaelegans	10	10	10	10	10	10	9	9	9	9	9	9	9
Geonomapauciflora	3	3	3	2	3	5	3	3	3	3	3	2	2
Gomidesiaspectabilis	4	4	4	4	4	3	2	2	2	2	2	2	2
Gomidesiatijucensis	4	3	3	3	3	3	3	3	3	3	3	3	3
Heisteriasilvianii	4	4	3	3	3	3	3	3	3	3	3	3	3
Heliconiavelloziana	3	3	3	3	3	3	3	2	2	2	2	2	2
Marliereaobscura	14	12	9	9	9	9	10	10	10	9	9	9	9
Mollinediaschottiana	10	10	10	12	13	13	11	10	9	10	10	8	8
Myrceugeniamyrcioides	4	4	4	4	4	4	4	3	3	3	2	2	2
Ocoteadispersa	6	4	3	3	4	4	4	4	3	4	4	2	2
Ourateaparviflora	3	3	3	3	3	3	3	4	4	4	4	4	4
Pausandramorisiana	3	3	3	3	3	3	2	2	2	2	2	2	2
Psychotrianuda	40	38	38	38	38	39	47	52	51	50	51	47	45
Rudgeajasminoides	23	21	18	19	19	18	21	31	34	33	30	24	22
Sloaneaguianensis	10	10	10	10	10	9	9	10	10	9	9	9	9
Soroceabonplandii	2	2	3	3	3	3	3	3	3	2	2	1	1
Virolabicuhyba	1	1	1	2	2	3	4	4	4	5	7	8	7
Virolagardneri	3	3	3	3	2	2	2	2	2	2	2	2	2
